Index,A,B,A_SMILES,B_SMILES,vdw_ETDG,density_mean,density_std,FFV(MD calculated),dp1(input SMILES for GCNN)
C8591,,,CC(C)C12c3ccccc3C(C(C)C)(c3cc4c(cc31)C(=O)OC4=O)c1cc3c(cc12)C(=O)OC3=O,Cc1cc(-c2cc(C)c(N)c3ccccc23)c2ccccc2c1N,0.52761874,0.937050126,0.006123877,0.357273231,Cc1cc(-c2cc(C)c(N3C(=O)c4cc5c(cc4C3=O)C3(C(C)C)c4ccccc4C5(C(C)C)c4cc5c(cc43)C(=O)OC5=O)c3ccccc23)c2ccccc2c1N
C2310,,,CC(C)C12c3ccccc3C(C(C)C)(c3cc4oc5cc6c(=O)oc(=O)c6cc5oc4cc31)c1cc3oc4cc5c(=O)oc(=O)c5cc4oc3cc12,Cc1cc(-c2cc(C)c(N)c3ccccc23)c2ccccc2c1N,0.50641547,0.940624377,0.008608269,0.380749243,Cc1cc(-c2cc(C)c(-n3c(=O)c4cc5oc6cc7c(cc6oc5cc4c3=O)C3(C(C)C)c4ccccc4C7(C(C)C)c4cc5oc6cc7c(=O)oc(=O)c7cc6oc5cc43)c3ccccc23)c2ccccc2c1N
C1739,,,CC1(C)CC2(CC(C)(C)c3cc4c(cc32)C(=O)OC4=O)c2cc3c(cc21)C(=O)OC3=O,Cc1cc(-c2cc(C)c(N)c3ccccc23)c2ccccc2c1N,0.530182054,0.947171721,0.005531879,0.347174517,Cc1cc(-c2cc(C)c(N3C(=O)c4cc5c(cc4C3=O)C3(CC(C)(C)c4cc6c(cc43)C(=O)OC6=O)CC5(C)C)c3ccccc23)c2ccccc2c1N
C1715,,,CC1(C)CC2(CC(C)(C)c3cc4c(cc32)C(=O)OC4=O)c2cc3c(cc21)C(=O)OC3=O,Cc1cc(C)c(N)c(C)c1N,0.529435711,0.948216715,0.00650877,0.347374272,Cc1cc(C)c(N2C(=O)c3cc4c(cc3C2=O)C2(CC(C)(C)c3cc5c(cc32)C(=O)OC5=O)CC4(C)C)c(C)c1N
C1720,,,CC1(C)CC2(CC(C)(C)c3cc4c(cc32)C(=O)OC4=O)c2cc3c(cc21)C(=O)OC3=O,Cc1cc2c(c(C)c1N)N1Cc3cc(C)c(N)c(C)c3N(C2)C1,0.527224585,0.94888119,0.005873981,0.349644461,Cc1cc2c(c(C)c1N)N1Cc3cc(C)c(N4C(=O)c5cc6c(cc5C4=O)C4(CC(C)(C)c5cc7c(cc54)C(=O)OC7=O)CC6(C)C)c(C)c3N(C2)C1
C1733,,,CC1(C)CC2(CC(C)(C)c3cc4c(cc32)C(=O)OC4=O)c2cc3c(cc21)C(=O)OC3=O,Cc1c(C)c(N)c(C)c(C)c1N,0.530623817,0.957576659,0.00539163,0.339453123,Cc1c(C)c(N2C(=O)c3cc4c(cc3C2=O)C2(CC(C)(C)c3cc5c(cc32)C(=O)OC5=O)CC4(C)C)c(C)c(C)c1N
C1717,,,CC1(C)CC2(CC(C)(C)c3cc4c(cc32)C(=O)OC4=O)c2cc3c(cc21)C(=O)OC3=O,CC1(C)CC2(CC(C)(C)c3cc(N)ccc32)c2ccc(N)cc21,0.538229302,0.95929458,0.005921303,0.328783412,CC1(C)CC2(CC(C)(C)c3cc(N4C(=O)c5cc6c(cc5C4=O)C4(CC(C)(C)c5cc7c(cc54)C(=O)OC7=O)CC6(C)C)ccc32)c2ccc(N)cc21
C2304,,,CC(C)C12c3ccccc3C(C(C)C)(c3cc4oc5cc6c(=O)oc(=O)c6cc5oc4cc31)c1cc3oc4cc5c(=O)oc(=O)c5cc4oc3cc12,Cc1c(C)c(N)c(C)c(C)c1N,0.5076002,0.961003268,0.005286225,0.365852914,Cc1c(C)c(-n2c(=O)c3cc4oc5cc6c(cc5oc4cc3c2=O)C2(C(C)C)c3ccccc3C6(C(C)C)c3cc4oc5cc6c(=O)oc(=O)c6cc5oc4cc32)c(C)c(C)c1N
C8020,,,CC12c3ccccc3C(C)(c3cc4c(cc31)C(=O)OC4=O)c1cc3c(cc12)C(=O)OC3=O,Cc1cc(-c2cc(C)c(N)c3ccccc23)c2ccccc2c1N,0.516516507,0.96664803,0.005980952,0.350923437,Cc1cc(-c2cc(C)c(N3C(=O)c4cc5c(cc4C3=O)C3(C)c4ccccc4C5(C)c4cc5c(cc43)C(=O)OC5=O)c3ccccc23)c2ccccc2c1N
C2286,,,CC(C)C12c3ccccc3C(C(C)C)(c3cc4oc5cc6c(=O)oc(=O)c6cc5oc4cc31)c1cc3oc4cc5c(=O)oc(=O)c5cc4oc3cc12,Cc1cc(C)c(N)c(C)c1N,0.504900217,0.966734261,0.0070204,0.36546436,Cc1cc(C)c(-n2c(=O)c3cc4oc5cc6c(cc5oc4cc3c2=O)C2(C(C)C)c3ccccc3C6(C(C)C)c3cc4oc5cc6c(=O)oc(=O)c6cc5oc4cc32)c(C)c1N
